Category,STATE/UT,Population in lakhhs,Rape - Incidents,Rape - Rate,Rape Percentage,Kidnapping & Abduction  -Incidents,Kidnapping & Abduction - Rate,Kidnapping & Abduction Percentage,Dowry Deaths  -Incidents,Dowry Deaths - Rate,Dowry Deaths - Percentage,Cruelty by Husband and Relatives - Incidents,Cruelty by Husband and Relatives - Rate,Cruelty by Husband and Relatives( - Percentage,Molestation - Incidents,Molestation - Rate,Molestation - Percentage,Sexual Harassment - Incidents,Sexual Harassment - Rate,Sexual Harassment - Percentage,Importation of Girls - Incidents,Importation of Girls - Rate,Importation of Girls - Percentage,Sati Prevention Act - Incidents,Sati Prevention Act - Rate,Sati Prevention Act - Percentage,Immoral Traffic Act - Incidents,Immoral Traffic Act - Rate,Immoral Traffic Act - Percentage,Indecent Representation of Women - Incidents,Indecent Representation of Women - Rate,Indecent Representation of Women - Percentage,Dowry Prohibition Act - Incidents,Dowry Prohibition Act _ Rate,Dowry Prohibition Act - Percentage,Total - Incidents,Total - Rate,Total - Percentage,Year
State,Andhra Pradesh,757.28,871,1.2,5.4,765,1,5.2,420,0.6,6.1,5791,7.6,11.8,3544,4.7,10.4,2271,3,23.3,7,0,6.1,0,0,0,1332,1.8,15.1,925,1.2,87.9,551,0.7,17.1,16477,21.8,11.5,2001
State,Arunachal Pradesh,10.91,33,3,0.2,55,5,0.4,0,0,0,11,1,0,78,7.1,0.2,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,16.5,0.1,2001
State,Assam,266.38,817,3.1,5.1,1070,4,7.3,59,0.2,0.9,1248,4.7,2.5,850,3.2,2.5,4,0,0,0,0,0,0,0,0,6,0,0.1,10,0,1,179,0.7,5.6,4243,15.9,3,2001
State,Bihar,828.79,888,1.1,5.5,518,0.6,3.5,859,1,12.5,1558,1.9,3.2,562,0.7,1.6,21,0,0.2,83,0.1,72.8,0,0,0,29,0,0.3,3,0,0.3,835,1,25.9,5356,6.5,3.7,2001
State,Chhattisgarh,207.96,959,4.6,6,171,0.8,1.2,70,0.3,1,840,4,1.7,1763,8.5,5.2,161,0.8,1.7,0,0,0,0,0,0,12,0.1,0.1,0,0,0,13,0.1,0.4,3989,19.2,2.8,2001
State,Goa,13.44,12,0.9,0.1,6,0.4,0,2,0.1,0,11,0.8,0,17,1.3,0,7,0.5,0.1,0,0,0,0,0,0,28,2.1,0.3,0,0,0,0,0,0,83,6.2,0.1,2001
State,Gujarat,505.97,286,0.6,1.8,857,1.7,5.9,67,0.1,1,3667,7.2,7.5,756,1.5,2.2,111,0.2,1.1,0,0,0,0,0,0,61,0.1,0.7,0,0,0,0,0,0,5805,11.5,4,2001
State,Haryana,210.83,398,1.9,2.5,297,1.4,2,285,1.4,4.2,1513,7.2,3.1,478,2.3,1.4,401,1.9,4.1,0,0,0,0,0,0,21,0.1,0.2,0,0,0,0,0,0,3393,16.1,2.4,2001
State,Himachal Pradesh,60.77,124,2,0.8,105,1.7,0.7,10,0.2,0.1,317,5.2,0.6,310,5.1,0.9,14,0.2,0.1,0,0,0,0,0,0,1,0,0,0,0,0,9,0.1,0.3,890,14.6,0.6,2001
State,Jammu & Kashmir,100.7,169,1.7,1.1,504,5,3.4,13,0.1,0.2,50,0.5,0.1,622,6.2,1.8,288,2.9,3,0,0,0,0,0,0,7,0.1,0.1,0,0,0,3,0,0.1,1656,16.4,1.2,2001
State,Jharkhand,269.09,567,2.1,3.5,279,1,1.9,217,0.8,3.2,484,1.8,1,297,1.1,0.9,5,0,0.1,2,0,1.8,0,0,0,3,0,0,0,0,0,375,1.4,11.6,2229,8.3,1.6,2001
State,Karnataka,527.34,293,0.6,1.8,271,0.5,1.9,220,0.4,3.2,1755,3.3,3.6,1665,3.2,4.9,81,0.2,0.8,0,0,0,0,0,0,1356,2.6,15.4,0,0,0,361,0.7,11.2,6002,11.4,4.2,2001
