Category (Col. 1),State.UT,Mid-Year Projected Female Population(In Lakhs) (Col. 3),Rape Total -I,Rape Total  -R,Custodial Rape - I,Custodial Rape -R, Custodial Rape - Gang Rape - I,Custodial Rape - Gang Rape - R ,Custodial Rape - Other Rape - I , Custodial Rape - Other Rape - R ,Rape Other Than Custodial  - I,Rape Other Than Custodial  - R,Rape Other than Custodial - Gang Rape - I,Rape Other than Custodial - Gang Rape - R,Rape Other than Custodial - Other Rape - I,Rape Other than Custodial - Other Rape - R,Attempt to Commit Rape - I,Attempt to Commit Rape - R, Kidnapping & Abduction of Women (Total) - I, Kidnapping & Abduction of Women (Total) - R, Kidnapping & Abduction of Female - I, Kidnapping & Abduction of Female - R,Kidnapping & Abduction for Murder - I,Kidnapping & Abduction for Murder - R,Kidnapping & Abduction for Ransom - I,Kidnapping & Abduction for Ransom - R,Kidnapping & Abduction for Marriage - I,Kidnapping & Abduction for Marriage - R,Kidnapping & Abduction (Others) - I,Kidnapping & Abduction (Others) - R,Dowry Deaths - I,Dowry Deaths - R,Assault On Women (Total) - I,Assault On Women (Total) - R,Sexual Harassment - I,Sexual Harassment - R,Intent to Disrobe - I,Intent to Disrobe - R, Voyeurism - I, Voyeurism - R,Stalking - I,Stalking - R, Others - I, Others - R,Insult to Modesty of Women (Total) - I,Insult to Modesty of Women (Total) - R,At Office Premises - I,At Office Premises - R,Other Places Related To Work - I,Other Places Related To Work - R, In Public Transport system - I, In Public Transport system - R,Other Places - I,Other Places - R,Cruelty By Husband Or His Relatives - I,Cruelty By Husband Or His Relatives -R,Importation of Girls upto 21 Years - I,Importation of Girls upto 21 Years - R,Abetment of Suicide of Women - (Section 306 IPC) - I (Col. 88),Abetment of Suicide of Women - (Section 306 IPC) - R (Col. 90),"Dowry Prohibition Act, 1961 - I (Col. 91)","Dowry Prohibition Act, 1961 - R (Col. 93)","Indecent Representation of Women (Prohibition) Act, 1986 - I (Col. 94)","Indecent Representation of Women (Prohibition) Act, 1986 - R (Col. 96)","Commission of Sati Prevention Act, 1987 - I (Col. 97)","Commission of Sati Prevention Act, 1987 - R (Col. 99)","Protection of Women From Domestic Violence Act, 2005 - I (Col. 100)","Protection of Women From Domestic Violence Act, 2005 - R (Col. 102)",Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - I (Col. 103),Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - R (Col. 105),Immoral Traffic (Prevention) Act - Under ITP Section 5 - I (Col. 106),Immoral Traffic (Prevention) Act - Under ITP Section 5 - R (Col. 108),Immoral Traffic (Prevention) Act - Under ITP Section 6 - I (Col. 109),Immoral Traffic (Prevention) Act - Under ITP Section 6 - R (Col. 111),Immoral Traffic (Prevention) Act - Under ITP Section 7 - I (Col. 112),Immoral Traffic (Prevention) Act - Under ITP Section 7 - R (Col. 114),Immoral Traffic (Prevention) Act - Under ITP Section 8 - I (Col. 115),Immoral Traffic (Prevention) Act - Under ITP Section 8 - R (Col. 117),Immoral Traffic (Prevention) Act - Other Sections of ITP Act - I (Col. 118),Immoral Traffic (Prevention) Act - Other Sections of ITP Act - R (Col. 120),Total Crimes Against Women - I,Total Crimes Against Women - R
State,Andhra Pradesh,255.6,1027,4,1,0,0,0,1,0,1026,4,24,0.1,1002,3.9,206,0.8,684,2.7,283,1.1,0,0,8,0,278,1.1,115,0.4,174,0.7,4616,18.1,1070,4.2,491,1.9,112,0.4,551,2.2,2392,9.4,2200,8.6,3,0,103,0.4,24,0.1,2070,8.1,6121,23.9,0,0,384,1.5,303,1.2,12,0,0,0,0,0,204,0.8,76,0.3,5,0,7,0,1,0,115,0.4,15931,62.3
State,Arunachal Pradesh,6.2,71,11.5,0,0,0,0,0,0,71,11.5,4,0.6,67,10.8,12,1.9,128,20.7,67,10.8,0,0,1,0.2,19,3.1,41,6.6,0,0,101,16.3,15,2.4,1,0.2,1,0.2,1,0.2,83,13.4,2,0.3,0,0,1,0.2,0,0,1,0.2,66,10.7,0,0,2,0.3,0,0,0,0,0,0,0,0,2,0.3,0,0,0,0,0,0,0,0,2,0.3,384,62.1
State,Assam,157,1733,11,0,0,0,0,0,0,1733,11,21,0.1,1712,10.9,499,3.2,5039,32.1,51,0.3,2,0,0,0,4141,26.4,845,5.4,216,1.4,4293,27.4,499,3.2,808,5.1,46,0.3,59,0.4,2881,18.4,111,0.7,1,0,16,0.1,14,0.1,80,0.5,11225,71.5,0,0,0,0,95,0.6,0,0,0,0,0,0,47,0.3,16,0.1,19,0.1,2,0,0,0,10,0.1,23258,148.2
State,Bihar,498.4,1041,2.1,0,0,0,0,0,0,1041,2.1,15,0,1026,2.1,403,0.8,5158,10.3,109,0.2,12,0,1,0,4444,8.9,592,1.2,1154,2.3,198,0.4,78,0.2,42,0.1,0,0,2,0,76,0.2,96,0.2,0,0,0,0,0,0,96,0.2,3792,7.6,0,0,0,0,1867,3.7,0,0,0,0,161,0.3,21,0,18,0,1,0,0,0,0,0,2,0,13891,27.9
State,Chhattisgarh,127.8,1560,12.2,0,0,0,0,0,0,1560,12.2,57,0.4,1503,11.8,19,0.1,1354,10.6,913,7.1,0,0,1,0,268,2.1,172,1.3,89,0.7,1868,14.6,507,4,67,0.5,9,0.1,75,0.6,1210,9.5,53,0.4,0,0,7,0.1,0,0,46,0.4,620,4.9,0,0,141,1.1,10,0.1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,4,0,5720,44.8
State,Goa,9.2,86,9.4,0,0,0,0,0,0,86,9.4,2,0.2,84,9.2,0,0,70,7.7,66,7.2,0,0,0,0,0,0,4,0.4,0,0,150,16.4,58,6.3,4,0.4,5,0.5,20,2.2,63,6.9,34,3.7,4,0.4,0,0,0,0,30,3.3,19,2.1,0,0,3,0.3,0,0,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,3,0.3,365,39.9
State,Gujarat,294.7,503,1.7,0,0,0,0,0,0,503,1.7,6,0,497,1.7,3,0,1569,5.3,564,1.9,0,0,2,0,938,3.2,65,0.2,12,0,1164,3.9,536,1.8,63,0.2,24,0.1,92,0.3,449,1.5,73,0.2,1,0,6,0,2,0,64,0.2,4133,14,0,0,232,0.8,36,0.1,0,0,0,0,2,0,35,0.1,19,0.1,2,0,3,0,4,0,7,0,7762,26.3
State,Haryana,124.7,1070,8.6,0,0,0,0,0,0,1070,8.6,204,1.6,866,6.9,105,0.8,2336,18.7,107,0.9,0,0,4,0,970,7.8,1255,10.1,243,1.9,1886,15.1,688,5.5,249,2,28,0.2,338,2.7,583,4.7,90,0.7,1,0,2,0,1,0,86,0.7,3525,28.3,0,0,122,1,14,0.1,0,0,0,0,11,0.1,44,0.4,9,0.1,5,0,4,0,0,0,26,0.2,9446,75.7
State,Himachal Pradesh,34.4,244,7.1,0,0,0,0,0,0,244,7.1,8,0.2,236,6.9,1,0,239,6.9,16,0.5,1,0,1,0,203,5.9,18,0.5,2,0.1,434,12.6,99,2.9,15,0.4,1,0,52,1.5,267,7.8,58,1.7,1,0,8,0.2,0,0,49,1.4,226,6.6,0,0,64,1.9,0,0,0,0,0,0,15,0.4,6,0.2,4,0.1,0,0,0,0,0,0,2,0.1,1289,37.4
State,Jammu & Kashmir,59,296,5,0,0,0,0,0,0,296,5,0,0,296,5,21,0.4,1071,18.2,380,6.4,0,0,0,0,225,3.8,466,7.9,6,0.1,1343,22.8,244,4.1,140,2.4,1,0,4,0.1,954,16.2,175,3,0,0,0,0,10,0.2,165,2.8,400,6.8,0,0,50,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363,57
