STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crime,Region
ANDHRA PRADESH,ADILABAD,2001,50,30,16,149,34,175,0,454,SOUTH CENTRAL REGION
ANDHRA PRADESH,ANANTAPUR,2001,23,30,7,118,24,154,0,356,SOUTH CENTRAL REGION
ANDHRA PRADESH,CHITTOOR,2001,27,34,14,112,83,186,0,456,SOUTH CENTRAL REGION
ANDHRA PRADESH,CUDDAPAH,2001,20,20,17,126,38,57,0,278,SOUTH CENTRAL REGION
ANDHRA PRADESH,EAST GODAVARI,2001,23,26,12,109,58,247,0,475,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,1,0,0,0,1,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTUR,2001,54,51,7,139,129,378,0,758,SOUTH CENTRAL REGION
ANDHRA PRADESH,HYDERABAD CITY,2001,37,39,24,118,27,746,0,991,SOUTH CENTRAL REGION
ANDHRA PRADESH,KARIMNAGAR,2001,56,49,62,414,81,224,0,886,SOUTH CENTRAL REGION
ANDHRA PRADESH,KHAMMAM,2001,47,30,17,180,336,172,0,782,SOUTH CENTRAL REGION
ANDHRA PRADESH,KRISHNA,2001,37,21,10,208,72,265,0,613,SOUTH CENTRAL REGION
ANDHRA PRADESH,KURNOOL,2001,29,47,13,141,107,92,0,429,SOUTH CENTRAL REGION
ANDHRA PRADESH,MAHABOOBNAGAR,2001,59,27,14,176,41,69,0,386,SOUTH CENTRAL REGION
ANDHRA PRADESH,MEDAK,2001,35,20,26,100,25,192,0,398,SOUTH CENTRAL REGION
ANDHRA PRADESH,NALGONDA,2001,35,19,31,188,59,214,0,546,SOUTH CENTRAL REGION
ANDHRA PRADESH,NELLORE,2001,46,80,10,207,228,287,0,858,SOUTH CENTRAL REGION
ANDHRA PRADESH,NIZAMABAD,2001,21,21,19,55,15,228,0,359,SOUTH CENTRAL REGION
ANDHRA PRADESH,PRAKASHAM,2001,19,12,5,140,100,119,0,395,SOUTH CENTRAL REGION
ANDHRA PRADESH,RANGA REDDY,2001,72,83,37,113,55,421,7,788,SOUTH CENTRAL REGION
